0, 0, (11.99705135894096, 1.3730250827986927), [0.3460889655971231, 0.6232814750391685, 0.6158156951036152, 0.14855463870828756]
0, 1, (64.09705410818779, 13.659003079189485), [0.939268997363764, 0.5822275730589491, 0.6715634814879851, 0.08393822683708396]
0, 2, (96.79925440735938, 30.809864872215506), [0.7664809327917963, 0.23680977536311776, 0.030814021726609964, 0.7887727172362835]
0, 3, (168.34411298720192, 80.21971751440427), [0.9664535356921388, 0.4407325991753527, 0.007491470058587191, 0.9109759624491242]
1, 0, (0.08403186873313709, 0.13158914182897016), [0.056025821014408075, 0.5557169334068415, 0.07145602860204428, 0.11494802263893315]
1, 1, (11.99705135894096, 1.3730250827986927), [0.3460889655971231, 0.6232814750391685, 0.6158156951036152, 0.14855463870828756]
1, 2, (159.65614549804445, 11.769165271364775), [0.9702249443729514, 0.45099411367650244, 0.2417873177175598, 0.6050342097572833]
1, 3, (64.09705410818779, 13.659003079189485), [0.939268997363764, 0.5822275730589491, 0.6715634814879851, 0.08393822683708396]
2, 0, (0.08403186873313709, 0.13158914182897016), [0.056025821014408075, 0.5557169334068415, 0.07145602860204428, 0.11494802263893315]
2, 1, (26.337011802356578, 0.5819352278022351), [0.3287344616177345, 0.600342556645758, 0.9656144680001477, 0.5431701126059475]
2, 2, (11.99705135894096, 1.3730250827986927), [0.3460889655971231, 0.6232814750391685, 0.6158156951036152, 0.14855463870828756]
2, 3, (62.16553097721662, 1.8917527653098083), [0.5484932905508769, 0.8060528982570161, 0.8299491625946398, 0.4422802738183792]
3, 0, (0.08403186873313709, 0.13158914182897016), [0.056025821014408075, 0.5557169334068415, 0.07145602860204428, 0.11494802263893315]
3, 1, (26.337011802356578, 0.5819352278022351), [0.3287344616177345, 0.600342556645758, 0.9656144680001477, 0.5431701126059475]
3, 2, (55.79844490450644, 0.9590247165295116), [0.4387504240485458, 0.6480539793528518, 0.9002293545244723, 0.7448842086199624]
3, 3, (7.511097819311589, 1.1156488715284276), [0.29404900070704404, 0.5894657438993837, 0.5903605767967338, 0.11686761347778309]
4, 0, (0.08403186873313709, 0.13158914182897016), [0.056025821014408075, 0.5557169334068415, 0.07145602860204428, 0.11494802263893315]
4, 1, (0.16034569238023408, 0.030567755235386938), [0.04606659516970359, 0.8378436567485761, 0.5659287105228481, 0.11654562984999964]
4, 2, (26.337011802356578, 0.5819352278022351), [0.3287344616177345, 0.600342556645758, 0.9656144680001477, 0.5431701126059475]
4, 3, (55.79844490450644, 0.9590247165295116), [0.4387504240485458, 0.6480539793528518, 0.9002293545244723, 0.7448842086199624]
5, 0, (0.16034569238023408, 0.030567755235386938), [0.04606659516970359, 0.8378436567485761, 0.5659287105228481, 0.11654562984999964]
5, 1, (0.2439833486969027, 0.046807418448683566), [0.0567847390702984, 0.8645930901700638, 0.5300189618327793, 0.11660180830701936]
5, 2, (26.337011802356578, 0.5819352278022351), [0.3287344616177345, 0.600342556645758, 0.9656144680001477, 0.5431701126059475]
5, 3, (37.76919103990956, 0.6579738113378457), [0.3622937708431505, 0.6165625557802857, 0.898806004510996, 0.7421473926556783]
