label:v(.5)
40001
7.075	-66.1114
7.1	-66.1106
7.125	-66.1099
7.15	-66.1091
7.175	-66.1082
7.2	-66.1074
7.225	-66.1066
7.25	-66.1057
7.275	-66.1048
7.3	-66.1039
7.325	-66.103
7.35	-66.1021
7.375	-66.1012
7.4	-66.1002
7.425	-66.0993
7.45	-66.0983
7.475	-66.0973
7.5	-66.0963
7.525	-66.0953
7.55	-66.0943
7.575	-66.0933
7.6	-66.0922
7.625	-66.0912
7.65	-66.0901
7.675	-66.0891
7.7	-66.088
7.725	-66.0869
7.75	-66.0858
7.775	-66.0847
7.8	-66.0835
7.825	-66.0824
7.85	-66.0813
7.875	-66.0801
7.9	-66.0789
7.925	-66.0778
7.95	-66.0766
7.975	-66.0754
8	-66.0742
8.025	-66.073
8.05	-66.0718
8.075	-66.0706
8.1	-66.0693
8.125	-66.0681
8.15	-66.0668
8.175	-66.0656
8.2	-66.0643
8.225	-66.0631
8.25	-66.0618
8.275	-66.0605
8.3	-66.0592
8.325	-66.0579
8.35	-66.0566
8.375	-66.0553
8.4	-66.054
8.425	-66.0527
8.45	-66.0514
8.475	-66.05
8.5	-66.0487
8.525	-66.0473
8.55	-66.046
8.575	-66.0446
8.6	-66.0433
8.625	-66.0419
8.65	-66.0406
8.675	-66.0392
8.7	-66.0378
8.725	-66.0364
8.75	-66.035
8.775	-66.0337
8.8	-66.0323
8.825	-66.0309
8.85	-66.0295
8.875	-66.0281
8.9	-66.0266
8.925	-66.0252
8.95	-66.0238
8.975	-66.0224
9	-66.021
9.025	-66.0196
9.05	-66.0181
9.075	-66.0167
9.1	-66.0153
9.125	-66.0138
9.15	-66.0124
9.175	-66.011
9.2	-66.0095
9.225	-66.0081
9.25	-66.0066
9.275	-66.0052
9.3	-66.0037
9.325	-66.0023
9.35	-66.0008
9.375	-65.9994
9.4	-65.9979
9.425	-65.9965
9.45	-65.995
9.475	-65.9935
9.5	-65.9921
9.525	-65.9906
9.55	-65.9891
9.575	-65.9876
9.6	-65.9861
9.625	-65.9846
9.65	-65.9831
9.675	-65.9816
9.7	-65.9801
9.725	-65.9786
9.75	-65.9771
9.775	-65.9756
9.8	-65.9741
9.825	-65.9725
9.85	-65.971
9.875	-65.9694
9.9	-65.9679
9.925	-65.9663
9.95	-65.9648
9.975	-65.9632
10	-65.9617
10.025	-65.9601
10.05	-65.9585
10.075	-65.9569
10.1	-65.9553
10.125	-65.9538
10.15	-65.9522
10.175	-65.9506
10.2	-65.949
10.225	-65.9474
10.25	-65.9458
10.275	-65.9441
10.3	-65.9425
10.325	-65.9409
10.35	-65.9393
10.375	-65.9377
10.4	-65.936
10.425	-65.9344
10.45	-65.9328
10.475	-65.9311
10.5	-65.9295
10.525	-65.9278
10.55	-65.9262
10.575	-65.9245
10.6	-65.9229
10.625	-65.9212
10.65	-65.9196
10.675	-65.9179
10.7	-65.9162
10.725	-65.9146
10.75	-65.9129
10.775	-65.9112
10.8	-65.9095
10.825	-65.9079
10.85	-65.9062
10.875	-65.9045
10.9	-65.9028
10.925	-65.9011
10.95	-65.8994
10.975	-65.8978
11	-65.8961
11.025	-65.8944
11.05	-65.8927
11.075	-65.891
11.1	-65.8893
11.125	-65.8876
11.15	-65.8859
11.175	-65.8842
11.2	-65.8825
11.225	-65.8808
11.25	-65.8791
11.275	-65.8774
11.3	-65.8757
11.325	-65.874
11.35	-65.8723
11.375	-65.8705
11.4	-65.8688
11.425	-65.8671
11.45	-65.8654
11.475	-65.8637
11.5	-65.862
11.525	-65.8603
11.55	-65.8586
11.575	-65.8568
11.6	-65.8551
11.625	-65.8534
11.65	-65.8517
11.675	-65.85
11.7	-65.8483
11.725	-65.8465
11.75	-65.8448
11.775	-65.8431
11.8	-65.8414
11.825	-65.8397
11.85	-65.838
11.875	-65.8363
11.9	-65.8345
11.925	-65.8328
11.95	-65.8311
11.975	-65.8294
12	-65.8277
12.025	-65.826
12.05	-65.8243
12.075	-65.8225
12.1	-65.8208
12.125	-65.8191
12.15	-65.8174
12.175	-65.8157
12.2	-65.814
12.225	-65.8123
12.25	-65.8106
12.275	-65.8089
12.3	-65.8072
12.325	-65.8055
12.35	-65.8038
12.375	-65.8021
12.4	-65.8004
12.425	-65.7987
12.45	-65.797
12.475	-65.7953
12.5	-65.7936
12.525	-65.7919
12.55	-65.7902
12.575	-65.7885
12.6	-65.7868
12.625	-65.7852
12.65	-65.7835
12.675	-65.7818
12.7	-65.7801
12.725	-65.7784
12.75	-65.7768
12.775	-65.7751
12.8	-65.7734
12.825	-65.7717
12.85	-65.7701
12.875	-65.7684
12.9	-65.7667
12.925	-65.7651
12.95	-65.7634
