# Cost,soma 0 hh gnabar_hh,soma 0 hh gkbar_hh,soma 0 hh gl_hh
1.5517564700000000864e-13,0.11999992513085763757,0.035999994473901446301,0.00029999896544203094985
1.5518876900000000642e-13,0.11999992284802014908,0.035999994042947063011,0.00029999895765711246092
1.9014472900000001128e-11,0.12000256890325888826,0.036000510681719534445,0.00030000729888874922953
0.039251260000000003092,0.26716804829512913466,0.055342856946223442649,0.00078114106962878836551
1.6495132999999999422e-13,0.11999987052706036217,0.035999991580524200174,0.00029999812464689311819
1.551842000000000023e-13,0.11999992765602664202,0.035999994688153139077,0.00029999899840115959448
1.6773714400000000948e-13,0.1199999383943333997,0.035999997969272272413,0.00029999889843396122975
0.07430106999999999684,0.34324835812231213605,0.066774576922228059961,0.00038741988875340090982
1.6297042100000000501e-13,0.11999999933785776562,0.036000005354547053027,0.00029999949832774718906
1.5537263900000000914e-13,0.11999990321342483834,0.03599999186412349006,0.00029999875030790141769
